未收桶订单报表 — 共 210 单（已送出，无收桶记录）,,,,,,
#,单号,送出日期,月份,地址,桶型,司机
81,SOT12580,24-Apr-26,4 月,"6 Montesano Crescent, Richmond Hill, ON L4B 4M9",20YD 垃圾桶,成
90,SOT12616,25-Apr-26,4 月,"465 Milner Ave #5 Scarborough, ON M1B 2K4",40YD垃圾桶,Jason
91,SOT12623,25-Apr-26,4 月,"51 Milky Way Dr, Richmond Hill, ON L4C 4M9",14YD垃圾桶,Jason
92,SOT12620,25-Apr-26,4 月,"32 Donna Ct, North York, ON M2M 2C8",20YD垃圾桶,坤
94,SOT12649,27-Apr-26,4 月,"1123 Leslie St, North York, ON M3C 2K5",換20YD垃圾桶(鐵),Jason
95,SOT12628,27-Apr-26,4 月,"851 Woodland Acres Crescent, Maple, ON L6A 1G2",換20YD垃圾桶,坤
96,SOT12627,27-Apr-26,4 月,"21 Wozniak Cres, Markham, ON L6E 0L4",20YD垃圾桶,坤
97,SOT12662,27-Apr-26,4 月,"Unit 21, 1655 Sismet Rd, Mississauga, ON L4W 1Z4",換14YD垃圾桶,坤
98,SOT12655,27-Apr-26,4 月,"3477 Kennedy Rd, Scarborough, ON M1V 4Y3",14YD 垃圾桶,成
101,SOT12629,27-Apr-26,4 月,"50 Tiffield Rd, Toronto, ON M1V 5B7",換14YD垃圾桶,清
104,SOT12146,27-Mar-26,3 月,"2559 Islington Ave, Etobicoke, ON M9V 2X2",20YD垃圾桶  (換),坤
106,SOT12667,28-Apr-26,4 月,"5467 19th Ave, Markham, ON L3P 3J3", EXCHANGE 20YD GARBAGE BIN,成
108,SOT12689,28-Apr-26,4 月,"32 Ashwarren Rd, North York, ON M3J 1Z7",换20YD垃圾桶,坤
109,SOT12663,28-Apr-26,4 月,"199 Ridgewood Rd, Scarborough, ON M1C 2X3",20YD 垃圾桶,Mike
110,SOT12668,28-Apr-26,4 月,"336 8TH LINE Rd S DUMMER, Douro-Dummer, ON K0L 2V0",換40YD垃圾桶,Jason
111,SOT12664,28-Apr-26,4 月,"3880 Edgerton Rd, Blackstock, ON L0B 1B0",換40YD垃圾桶,Jason
112,SOT12665,28-Apr-26,4 月,"16 Wimpole Dr, North York, ON M2L 2K9",20YD垃圾桶,成
113,SOT12673,28-Apr-26,4 月,"195 Milner Ave., Scarborough, ON M1S 3R1",換14YD垃圾桶,坤
114,SOT12625,28-Apr-26,4 月,"578 Woodland Acres Crescent, Vaughan, ON L6A 1G2",換40YD垃圾桶,刀
115,SOT12175,28-Mar-26,3 月,"59 Granger Ave, Scarborough, ON M1K 3K9",換20YD垃圾桶,坤
116,SOT12692,29-Apr-26,4 月,"32 Sisina Ave, Markham, ON L6C 0H6",換20YD垃圾桶,坤
118,SOT12694,29-Apr-26,4 月,"2 Forson Ct, Markham, ON L6C 1A9",換20YD垃圾桶,刀
121,SOT12672,29-Apr-26,4 月,"58 Scarboro Ave, Scarborough, ON M1C 1M3",14YD垃圾桶,成
124,SOT12780,3-May-26,5 月,"67 Jacob Keffer Pkwy, Vaughan, ON L4K 5N8",換14YD 磚桶,Jason
125,SOT12770,3-May-26,5 月,"242 Lawrence Ave, Richmond Hill, ON L4C 1Z6",換20YD垃圾桶,Jason
127,SOT12708,30-Apr-26,4 月,"UNIT2, 3 Keensford Ct, Ajax, ON L1Z 0K4",換20YD垃圾桶,坤
128,SOT12707,30-Apr-26,4 月,"3905 Keele St, North York, ON M3J 1N6",換20YD垃圾桶,坤
129,SOT12702,30-Apr-26,4 月,"191 Finch Ave E, North York, ON M2N 4S1",14YD GARBAGE BIN,坤
132,D09651,30-Apr-26,4 月,"74 Montrave Ave, Oshawa, ON L1J 4R7",14YD SOIL BIN,Jason
133,SOT12711,30-Apr-26,4 月,"2 Doulton Ct, Markham, ON L3R 8N8",換20YD垃圾桶,坤
135,SOT12199,30-Mar-26,3 月,"567 Davis Dr, Newmarket, ON L3Y 2P5",換20YD垃圾桶,坤
139,D09607,31-Mar-26,3 月,"77 Nash Dr, North York, ON M3M 2L6 ",拉14YD水泥桶，送14YD土桶+2YD GRAVEL,成
140,SOT12219,31-Mar-26,3 月,"1 Heritage Woods Manor, Markham, ON L6C 3H1",換20YD垃圾桶,坤
141,SOT12802,4-May-26,5 月,"1795 Reach St, Port Perry, ON L9L 1P2",14YD SOIL BIN,Jason
142,SOT12779,4-May-26,5 月,"Unit 3, 560 Denison St, Markham, ON L3R 2M8",换30YD垃圾桶,Jason
143,SOT12782,4-May-26,5 月,"3550 Sideline 24, Pickering, ON L0H 1J0",換40YD垃圾桶,Mike
144,SOT12804,4-May-26,5 月,"85 Citizen Ct, Markham, ON L6G 1A8",換20YD垃圾桶,坤
145,SOT12803,4-May-26,5 月,"3 Towne Ct, Unionville, ON L3R 1X4",換20YD垃圾桶,坤
146,SOT12812,4-May-26,5 月,"263 Glebemount Ave, East York, ON M4C 3T7",20YD垃圾桶,坤
147,SOT12754,4-May-26,5 月,"26 Crimson Millway, North York, ON M2L 1T6",換14YD垃圾桶,成
148,SOT12763,4-May-26,5 月,"46 Apollo Dr, North York, ON M3B 1T9",換14YD垃圾桶,成
149,SOT10916,5-Mar-26,3 月,"33 Jeremy Dr, Unionville, ON L3R 2K7",40YD垃圾桶  (換),成
150,SOT12824,5-May-26,5 月,"2119 Pineview Dr, Oakville, ON L6H 5M5",14YD垃圾桶,成
151,SOT12776,5-May-26,5 月,"262 Orr Dr, Bradford, ON L3Z 0B9",20YD垃圾桶,成
152,SOT12854,5-May-26,5 月,"128 Millcliff Cir, Aurora, ON L4G 7N8",換20YD垃圾桶,Mike
154,SOT12814,5-May-26,5 月,"277 Fifth Ave, Woodbridge, ON L4L 7A7",14YD垃圾桶,Jason
155,SOT12809,5-May-26,5 月,"60 Emblem Ct, Scarborough, ON M1S 1B1",換40YD垃圾桶,Mike
156,SOT12846,5-May-26,5 月,"226 Steelcase Rd W, Markham, ON L3R 1B3",换30YD垃圾桶,Jason
157,SOT12823,5-May-26,5 月,"62 Buckhorn Ave, Richmond Hill, ON L4C 0G4",14YD垃圾桶,Jason
158,SOT12807,5-May-26,5 月,"49 Eastwood Crescent, Markham, ON L3P 6A1",20YD垃圾桶,Jason
159,SOT12722,5-May-26,5 月,"38 Beacham Crescent, Scarborough, ON M1T 1N1",14YD垃圾桶,Mike
160,SOT12200,6-Apr-26,4 月,"192 Glendora Ave, North York, ON M2N 2W5",14YD垃圾桶,坤
162,SOT10215,6-Jan-26,1 月,"Unit 2, 560 Denison St, Markham, ON L3R 2M8",20YD 垃圾桶(换）,坤
163,SOT12884,6-May-26,5 月,"241 East St, Holland Landing, ON L9N 1K8",14YD GARBAGE BIN,成
164,SOT12815,6-May-26,5 月,"52 Shady Hollow Dr, Scarborough, ON M1V 2X4",20YD 垃圾桶,坤
166,SOT12860,6-May-26,5 月,"1386 Tottenham Rd, Tottenham, ON L0G 1W0",換20YD垃圾桶,坤
167,SOT12756,6-May-26,5 月,"37 Meadow Ridge Ct, Maple, ON L6A 0C3",20YD垃圾桶,Jason
168,SOT12885,6-May-26,5 月,"16 Wheaton Grove, Scarborough, ON M1J 3L5",14YD GARBAGE BIN,成
169,D09664,6-May-26,5 月,"1221 Grandview St N, Oshawa, ON L1K 2S9",14YD土桶,成
170,SOT10627,7-Feb-26,2 月,12441 Woodbine Ave Stouffville ON L4A 2K5, 拉20YD垃圾桶，送14YD垃圾桶,成
172,SOT12893,7-May-26,5 月,"574 Green Ln E, East Gwillimbury, ON L9N 0E1",換40YD垃圾桶,成
173,SOT12890,7-May-26,5 月,"200 Romina Dr., Concord, ON L4K 4Z7",換40YD垃圾桶,成
175,SOT12887,7-May-26,5 月,"1280 Klondike Dr, Oshawa, ON L1L 0T2",14YD垃圾桶,成
177,SOT12859,7-May-26,5 月,"337 Greenfield Ave, North York, ON M2N 3E7",20YD垃圾桶,坤
178,SOT12892,7-May-26,5 月,"Unit 369,200 Silver Star Blvd, Scarborough, ON M1V 5H4",換20YD垃圾桶,坤
179,SOT12899,7-May-26,5 月,"1443 Denison St, Markham, ON L3R 5V2",換20YD垃圾桶,坤
180,SOT12888,7-May-26,5 月,"Unit 6, 560 Denison St, Markham, ON L3R 1B8",換20YD垃圾桶,坤
181,SOT12895,7-May-26,5 月,"138 Olive Ave, North York, ON M2N 4P1",換20YD垃圾桶,坤
182,SOT12891,7-May-26,5 月,"250 Don Hillock Dr, Aurora, ON L4G 0G9",40YD 垃圾桶,成
184,SOT12330,8-Apr-26,4 月,"26 Irving Dr, Pefferlaw, ON L0E 1N0",EXCHANGE 20YD GARBAGE BIN,坤
185,SOT12896,8-May-26,5 月,"49 Seiffer Crescent, Richmond Hill, ON L4E 0J1",20YD垃圾桶,刀
186,SOT12968,8-May-26,5 月,"2639 Eaglesham Path, Oshawa, ON L1L 0M7",換14YD垃圾桶,坤
187,SOT12901,8-May-26,5 月,"40 Forest Grove Dr, North York, ON M2K 1Z3",EXCHANGE 20YD GARBAGE BIN,坤
188,SOT12906,8-May-26,5 月,"9 Mosedale Crescent, North York, ON M2J 3A3",20YD垃圾桶,坤
189,SOT12903,8-May-26,5 月,"740 York Mills Rd, North York, ON M3B 1W8",EXCHANGE 14YD ASPHALT BIN,刀
190,SOT12897,8-May-26,5 月,"1532 Glenhill Crescent, Mississauga, ON L5H 3C5",20YD垃圾桶,Jason
191,SOT12905,8-May-26,5 月,"607 Mississauga Crescent, Mississauga, ON L5H 1Z9","送14YD垃圾桶, 拉14YD磚桶",Gurdeep
192,SOT12898,8-May-26,5 月,"860 Denison St Unit 3, Markham, ON L3R 4H1",換40YD垃圾桶,Gurdeep
194,SOT12551,9-Feb-26,2 月,"92 Granada Crescent, Scarborough, ON M1B 2H5",14YD垃圾桶,坤
200,SOT12988,9-May-26,5 月,"Unit 17, 270 West Beaver Creek Rd, Richmond Hill, ON L4B 3Z1",換14YD垃圾桶,坤
201,SOT12966,9-May-26,5 月,"205 Cranbrooke Ave, Toronto, ON M5M 1M8",換14YD垃圾桶,坤
202,SOT12969,9-May-26,5 月,"34 Odessa Crescent, Markham, ON L6C 2T3",拉14YD垃圾桶，送20YD垃圾桶,坤
203,D09678,9-May-26,5 月,"64 Melford Dr, Scarborough, ON M1B 2G1 ",換14YD磚埇,Nick
204,SOT12982,9-May-26,5 月,"24 Bunty Ln, North York, ON M2K 1W6",14YD垃圾桶,Nick
205,SOT12981,9-May-26,5 月,"2065 Midland Ave, Scarborough, ON M1P 4P8",換40YD垃圾桶,Nick
206,SOT12986,9-May-26,5 月,"38 Pebblehill Square, Scarborough, ON M1S 2P7", 20YD垃圾桶,Mike
208,SOT12983,9-May-26,5 月,"150 Clark Blvd, Brampton, ON L6T 4Y8",換20YD垃圾桶,Jason
209,D09681,9-May-26,5 月,"41 Parkhill Dr, Gormley, ON L4A 2G1",4YD GRAVEL + 14YD 土桶 ,成
210,SOT12979,9-May-26,5 月,"2065 Midland Ave, Scarborough, ON M1P 4P8",換40YD垃圾桶,Nick
